TARGET_DU:Rotation-ActVel      2020-06-09 13:57:04.357867 3.3224  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:04.857961 3.3045  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:05.357972 3.2973  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:05.858009 3.233  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:06.358098 3.2365  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:06.858053 3.1865  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:07.358151 3.1435  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:07.859155 3.1936  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:08.358209 3.1757  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:08.858272 3.1292  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:09.358274 3.1936  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:09.858322 3.1185  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:10.358494 3.0756  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:10.858400 3.0828  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:11.358483 3.0649  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:11.858479 3.0148  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:12.358519 2.9719  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:12.858556 3.022  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:13.358579 2.9039  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:13.858719 2.8932  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:14.358741 2.9004  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:14.858886 2.8253  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:15.357935 2.8074  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:16.357723 2.8038  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:16.857905 2.7859  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:17.357896 2.836  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:17.857891 2.7716  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:18.358019 2.7466  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:18.857976 2.6894  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:19.358088 2.6357  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:19.858134 2.5535  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:20.358170 2.5892  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:20.858209 2.5356  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:21.358119 2.5713  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:21.858286 2.5463  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:22.358327 2.5034  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:22.858360 2.4641  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:23.358440 2.4569  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:23.858432 2.4784  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:24.358459 2.4641  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:24.858541 2.3782  
TARGET_DU:Rotation-ActVel      2020-06-09 13:57:25.358748 2.346  
